,Ship To Name,forcasted_line_count_int
2378,ZALES JEWELERS 1644,1
2179,ZALES 3574,1
2422,ZALES JEWELERS 1738,1
2439,ZALES JEWELERS 1798,1
2695,ZALES OUTLET 2865,1
2676,ZALES OUTLET 2808,1
2652,ZALES OUTLET 2746,1
2631,ZALES OUTLET 2704,1
2622,ZALES OUTLET 2686,1
2593,ZALES JEWELERS 877,1
2588,ZALES JEWELERS 856,1
2575,ZALES JEWELERS 773,1
2569,ZALES JEWELERS 744,1
2552,ZALES JEWELERS 600,1
2537,ZALES JEWELERS 482,1
2525,ZALES JEWELERS 3747,1
2523,ZALES JEWELERS 3612,1
2522,ZALES JEWELERS 3610,1
2509,ZALES JEWELERS 289,1
2505,ZALES JEWELERS 2808,1
2495,ZALES JEWELERS 1990,1
2433,ZALES JEWELERS 1789,1
2173,ZALES 2715,1
2166,ZALES 1766,1
2165,ZALES 1758,1
2054,PIERCING PAGODA 708,1
2049,PIERCING PAGODA 680,1
2038,PIERCING PAGODA 653,1
2027,PIERCING PAGODA 621,1
2021,PIERCING PAGODA 598,1
2019,PIERCING PAGODA 59,1
2008,PIERCING PAGODA 5706,1
1999,PIERCING PAGODA 557,1
1995,PIERCING PAGODA 537,1
1988,PIERCING PAGODA 51,1
1984,PIERCING PAGODA 492,1
1981,PIERCING PAGODA 487,1
1977,PIERCING PAGODA 47,1
1975,PIERCING PAGODA 468,1
1966,PIERCING PAGODA 442,1
1954,PIERCING PAGODA 400,1
1943,PIERCING PAGODA 3917,1
2055,PIERCING PAGODA 709,1
2058,PIERCING PAGODA 721,1
2063,PIERCING PAGODA 734,1
2070,PIERCING PAGODA 754,1
2164,ZALES 1665,1
2162,ZALES 1650,1
2161,ZALES 1644,1
2158,ZALES 1575,1
2156,ZALES 1507,1
2152,ZALES 1313,1
2150,ZALES 1218,1
2149,ZALES 12,1
1573,PIERCING PAGODA 0476,1
2147,ZALES 0346,1
2134,PIERCING PAGODA 996,1
2131,PIERCING PAGODA 99,1
2125,PIERCING PAGODA 97,1
2115,PIERCING PAGODA 932,1
2106,PIERCING PAGODA 90,1
2100,PIERCING PAGODA 881,1
2080,PIERCING PAGODA 798,1
2078,PIERCING PAGODA 795,1
